name,surname,email
White,Johnson,jwhite@polito.com
Borden,Ashley,aborden@polito.com
Green,Marjorie,mgreen@polito.com
Munsch,Jerome,jmunsch@polito.com
Aragon,Robert,raragon@polito.com
Russell,Jacki,jrussell@polito.com
Venson,Lillian,lvenson@polito.com
Conley,Thomas,tconley@polito.com
Jackson,Charles,cjackson@polito.com
Davis,Susan,sdavis@polito.com
Watson,Gail,gwatson@polito.com
Garrison,Lisa,lgarrison@polito.com
Renfro,Julie,jrenfro@polito.com
Heard,James,jheard@polito.com
Reyes,Danny,dreyes@polito.com
Hall,Mark,mhall@polito.com
Mceachern,Monte,mmceachern@polito.com
Diaz,Christopher,cdiaz@polito.com
Lowe,Tim,tlowe@polito.com
Oyola,Lynette,loyola@polito.com
Morrison,Adriane,amorrison@polito.com
Santos,Thomas,tsantos@polito.com
Faulkner,Victor,vfaulkner@polito.com
Iorio,Albert,aiorio@polito.com
Kaminski,Teresa,tkaminski@polito.com
Edwards,Rick,redwards@polito.com
Peacock,Stacey,speacock@polito.com
Nelson,Agnes,anelson@polito.com
Townsend,Mireille,mtownsend@polito.com
Zwick,Rebecca,rzwick@polito.com
