id,email,first_name,last_name,password,type
1,johndoe@example.com,John,Doe,pass123,1
2,janedoe@example.com,Jane,Doe,securepw,1
3,samsmith@example.com,Sam,Smith,12345678,1
4,emilyjohnson@example.com,Emily,Johnson,p@ssw0rd,0
5,michaeltaylor@example.com,Michael,Taylor,pa55word,1
6,sarahbrown@example.com,Sarah,Brown,pass1234,1
7,davidwilson@example.com,David,Wilson,123abc,0
8,lisasmith@example.com,Lisa,Smith,letmein,1
9,robertdavis@example.com,Robert,Davis,pwd1234,1
10,amytaylor@example.com,Amy,Taylor,abc123,0
11,matthewbrown@example.com,Matthew,Brown,password,1
12,juliewilson@example.com,Julie,Wilson,test123,1
13,danieljohnson@example.com,Daniel,Johnson,passw0rd,0
14,laurasmith@example.com,Laura,Smith,1234abcd,1
15,mikewilson@example.com,Mike,Wilson,secure123,1
16,emilyjones@example.com,Emily,Jones,abcd1234,1
17,johnsmith@example.com,John,Smith,98765432,0
18,janejohnson@example.com,Jane,Johnson,p@ssword,1
19,ryantaylor@example.com,Ryan,Taylor,pass12345,1
